"trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at"
"Texas","http://twitter.com/search?q=Texas",,"Texas",876553,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"#ADayOffTwitch","http://twitter.com/search?q=%23ADayOffTwitch",,"%23ADayOffTwitch",93250,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"#WomensWorlds","http://twitter.com/search?q=%23WomensWorlds",,"%23WomensWorlds",16380,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"#onpoli","http://twitter.com/search?q=%23onpoli",,"%23onpoli",12899,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Ontario","http://twitter.com/search?q=Ontario",,"Ontario",40839,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Jungkook","http://twitter.com/search?q=Jungkook",,"Jungkook",1562652,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"#WealthsimpleCrypto","http://twitter.com/search?q=%23WealthsimpleCrypto",,"%23WealthsimpleCrypto",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Marie-Philip Poulin","http://twitter.com/search?q=%22Marie-Philip+Poulin%22",,"%22Marie-Philip+Poulin%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"#skstorm","http://twitter.com/search?q=%23skstorm",,"%23skstorm",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Kimi","http://twitter.com/search?q=Kimi",,"Kimi",65967,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Baal","http://twitter.com/search?q=Baal",,"Baal",203381,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Don Cherry","http://twitter.com/search?q=%22Don+Cherry%22",,"%22Don+Cherry%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"My MJ","http://twitter.com/search?q=%22My+MJ%22",,"%22My+MJ%22",97904,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Sara","http://twitter.com/search?q=Sara",,"Sara",177403,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Amber","http://twitter.com/search?q=Amber",,"Amber",25467,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"zendaya","http://twitter.com/search?q=zendaya",,"zendaya",158627,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Happy New Month","http://twitter.com/search?q=%22Happy+New+Month%22",,"%22Happy+New+Month%22",85750,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Raj Saini","http://twitter.com/search?q=%22Raj+Saini%22",,"%22Raj+Saini%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Lupo","http://twitter.com/search?q=Lupo",,"Lupo",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Dvorak","http://twitter.com/search?q=Dvorak",,"Dvorak",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Hertl","http://twitter.com/search?q=Hertl",,"Hertl",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Feds","http://twitter.com/search?q=Feds",,"Feds",10135,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"YouTube Gaming","http://twitter.com/search?q=%22YouTube+Gaming%22",,"%22YouTube+Gaming%22",10772,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Ben Simmons","http://twitter.com/search?q=%22Ben+Simmons%22",,"%22Ben+Simmons%22",43864,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Cam Newton","http://twitter.com/search?q=%22Cam+Newton%22",,"%22Cam+Newton%22",44237,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Overcooked","http://twitter.com/search?q=Overcooked",,"Overcooked",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Supreme Court","http://twitter.com/search?q=%22Supreme+Court%22",,"%22Supreme+Court%22",217113,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Lyndsay","http://twitter.com/search?q=Lyndsay",,"Lyndsay",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Captain Canada","http://twitter.com/search?q=%22Captain+Canada%22",,"%22Captain+Canada%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Griezmann","http://twitter.com/search?q=Griezmann",,"Griezmann",388783,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Mac Jones","http://twitter.com/search?q=%22Mac+Jones%22",,"%22Mac+Jones%22",29180,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Mike Richards","http://twitter.com/search?q=%22Mike+Richards%22",,"%22Mike+Richards%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Handmaid's Tale","http://twitter.com/search?q=%22Handmaid%27s+Tale%22",,"%22Handmaid%27s+Tale%22",13679,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Don Martin","http://twitter.com/search?q=%22Don+Martin%22",,"%22Don+Martin%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Bobby Orr","http://twitter.com/search?q=%22Bobby+Orr%22",,"%22Bobby+Orr%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Canadian Women","http://twitter.com/search?q=%22Canadian+Women%22",,"%22Canadian+Women%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Chachi","http://twitter.com/search?q=Chachi",,"Chachi",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Hitman 2","http://twitter.com/search?q=%22Hitman+2%22",,"%22Hitman+2%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Bishop Sycamore","http://twitter.com/search?q=%22Bishop+Sycamore%22",,"%22Bishop+Sycamore%22",92066,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"For Everyone","http://twitter.com/search?q=%22For+Everyone%22",,"%22For+Everyone%22",381566,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Ontarians","http://twitter.com/search?q=Ontarians",,"Ontarians",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Yamato","http://twitter.com/search?q=Yamato",,"Yamato",33540,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Brad Hand","http://twitter.com/search?q=%22Brad+Hand%22",,"%22Brad+Hand%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Alberta Health Services","http://twitter.com/search?q=%22Alberta+Health+Services%22",,"%22Alberta+Health+Services%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Greg Stewart","http://twitter.com/search?q=%22Greg+Stewart%22",,"%22Greg+Stewart%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"bianca andreescu","http://twitter.com/search?q=%22bianca+andreescu%22",,"%22bianca+andreescu%22",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Palmieri","http://twitter.com/search?q=Palmieri",,"Palmieri",,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Halloween","http://twitter.com/search?q=Halloween",,"Halloween",89919,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Kevin McCarthy","http://twitter.com/search?q=%22Kevin+McCarthy%22",,"%22Kevin+McCarthy%22",143136,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
"Ann Coulter","http://twitter.com/search?q=%22Ann+Coulter%22",,"%22Ann+Coulter%22",26081,"Canada",23424775,2021-09-01 18:02:17,2021-08-26 04:26:15
